Well	Fluor	Target	Content	Sample	Biological Set Name	Cq	Cq Mean	Cq Std. Dev	Starting Quantity (SQ)	Log Starting Quantity	SQ Mean	SQ Std. Dev	Set Point	Well Note
F17	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
F18	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
F19	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
F20	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
F21	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
F22	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
F23	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
F24	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
G01	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
G02	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
G03	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
G04	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
G05	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
G06	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
G07	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
G08	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
G09	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
G10	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
G11	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
G12	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
G13	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
G14	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
G15	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
G16	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
G17	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
G18	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
G19	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
G20	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
G21	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
G22	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
G23	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
G24	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
H01	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
H02	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
H03	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
H04	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
H05	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
H06	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
H07	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
H08	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
H09	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
H10	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
H11	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
H12	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
